Address,City,State,Zip,County
"6823 St Charles Ave","New Orleans","LA","70118","Orleans Parish"
"1 N Grand Blvd","St. Louis","MO","63103","St. Louis City"
"7703 Floyd Curl Dr","San Antonio","TX","78229","Bexar County"
"8701 W Watertown Plank Rd","Milwaukee","WI","53226","Milwaukee County"
"1201 Larimer St","Denver","CO","80204","Denver County"
"85 S Prospect St","Burlington","VT","5405","Chittenden County"
"739 University Blvd","Tuscaloosa","AL","35487","Tuscaloosa County"
"900 S Crouse Ave","Syracuse","NY","13244","Onondaga County"
"4000 Central Florida Blvd","Orlando","FL","32816","Orange County"
"2301 S 3rd St","Louisville","KY","40292","Jefferson County"
"11200 SW 8th St","Miami","FL","33199","Miami-Dade County"
"4400 University Dr","Fairfax","VA","22030","Fairfax County"
"219 Student Union","Stillwater","OK","74078","Payne County"
"1 Waterfront Pl","Morgantown","WV","26501","Monongalia County"
"1311 S 5th St","Waco","TX","76706","McLennan County"
"27 Memorial Dr W","Bethlehem","PA","18015","Northampton County"
"2500 Campus Rd","Honolulu","HI","96822","Honolulu County"
"1653 W Congress Pkwy #12","Chicago","IL","60612","Cook County"
"910 Madison Ave","Memphis","TN","38163","Shelby County"
"500 College Ave","Swarthmore","PA","19081","Delaware County"
"140 Commonwealth Ave","Chestnut Hill","MA","2467","Middlesex County"
"1500 Illinois St","Golden","CO","80401","Jefferson County"
"33 Gilmer St SE","Atlanta","GA","30303","Fulton County"
"1 University of Arkansas","Fayetteville","AR","72701","Washington County"
"110 8th St","Troy","NY","12180","Rensselaer County"
"105 Sikes Hall","Clemson","SC","29634","Pickens County"
"200 1st St SW","Rochester","MN","55905","Olmsted County"
"5500 Campanile Dr","San Diego","CA","92182","San Diego County"
"701 S Nedderman Dr","Arlington","TX","76019","Tarrant County"
"10 W 35th St","Chicago","IL","60616","Cook County"
"405 W Magnolia Ave","Auburn","AL","36849","Lee County"
"3203 N Downer Ave","Milwaukee","WI","53211","Milwaukee County"
"200 Stadium Dr","Williamsburg","VA","23185","James City County"
"S 42nd &, Emile St","Omaha","NE","68198","Douglas County"
"370 Lancaster Ave","Haverford","PA","19041","Delaware County"
"Provo Campus","Provo","UT","84602","Utah County"
"Old Main Hill","Logan","UT","84322","Cache County"
